,address,sold,days,discount,price,Ration2Median,MonthList,MonthSold,NumList,NumPC,NumSold
94,"35 Ivy Hill Rd, Chappaqua, NY 10514",0,2092,100.2,1799000,2.03,3,10,1,17,1
95,"542 Saw Mill River Rd, Millwood, NY 10546",1,0,100.0,730000,1.37,0,3,0,0,2
96,"212 Pinesbridge Rd, Millwood, NY 10546",0,34,97.1,834000,1.56,3,0,2,2,1
97,"600 Washington Ave, Pleasantville, NY 10570",0,23,100.0,535000,0.74,5,0,7,9,3
98,"18 Choate Ln, Pleasantville, NY 10570",0,27,100.0,575000,0.8,5,0,1,0,0
99,"11 Francis Pl, Pleasantville, NY 10570",0,23,100.0,569901,0.79,5,0,4,4,0
100,"15 Chestnut St, Pleasantville, NY 10570",0,25,95.5,935000,1.29,5,0,1,1,2
101,"56 Romer Ave, Pleasantville, NY 10570",1,0,100.0,289000,0.4,0,1,0,0,2
102,"46 Guion St, Pleasantville, NY 10570",0,63,94.2,895000,1.24,3,0,1,1,1
103,"344 Palmer Ln, Pleasantville, NY 10570",1,0,100.0,995000,1.38,0,6,0,0,1
104,"58 Tamarack Way, Pleasantville, NY 10570",1,0,100.0,1251000,1.73,0,8,0,0,1
105,"81 Beech Hill Rd, Pleasantville, NY 10570",1,0,100.0,695000,0.96,0,7,0,0,1
106,"106 Church St, Pleasantville, NY 10570",0,252,90.6,625000,0.87,2,0,1,3,0
107,"34 Hamilton Rd, Scarsdale, NY 10583",1,0,100.0,360000,0.27,0,10,0,0,1
108,"29 Hadden Rd, Scarsdale, NY 10583",1,391,77.7,1550000,1.18,10,11,2,1,3
109,"91 Garden Rd, Scarsdale, NY 10583",0,6,100.0,3525000,2.69,6,0,2,1,1
110,"4 Obry Dr, Scarsdale, NY 10583",0,13,90.4,4695000,3.58,5,0,2,3,1
111,"52 Top O The Ridge Dr, Scarsdale, NY 10583",0,29,98.9,790000,0.6,4,0,2,3,1
112,"11 Montrose Rd, Scarsdale, NY 10583",0,27,100.0,1299000,0.99,5,0,3,0,3
113,"385 Ardsley Rd, Scarsdale, NY 10583",0,76,89.9,895000,0.68,3,0,1,4,0
114,"46 Standish Dr, Scarsdale, NY 10583",0,22,100.0,835000,0.64,5,0,1,0,3
115,"9 Longview Dr, Scarsdale, NY 10583",0,17,100.0,795000,0.61,6,0,3,1,2
116,"43 Brendon Hill Rd, Scarsdale, NY 10583",0,28,100.0,780000,0.59,5,0,1,0,0
117,"237 Heathcote Rd, Scarsdale, NY 10583",0,20,100.0,3300000,2.51,5,0,4,1,5
118,"95 Brookby Rd, Scarsdale, NY 10583",0,20,100.0,1700000,1.3,5,0,1,0,1
119,"1349 Weaver St, Scarsdale, NY 10583",0,53,100.0,499900,0.38,4,0,3,7,4
120,"31 Dogwood Dr, Scarsdale, NY 10583",0,48,100.0,625000,0.48,5,0,2,1,1
121,"100 Carthage Rd, Scarsdale, NY 10583",0,35,100.0,3200000,2.44,5,0,2,6,2
122,"52 Sprague Rd, Scarsdale, NY 10583",0,15,100.0,797000,0.61,6,0,1,0,0
123,"207 Fox Meadow Rd, Scarsdale, NY 10583",0,13,100.0,2995000,2.28,6,0,2,1,0
124,"74 Mamaroneck Rd, Scarsdale, NY 10583",0,26,100.0,2195000,1.67,5,0,1,0,0
125,"17 Circle Rd, Scarsdale, NY 10583",0,542,237.3,2990000,2.28,5,5,2,2,1
126,"57 Tisdale Rd, Scarsdale, NY 10583",0,23,95.7,2199000,1.68,5,0,3,2,1
127,"18 Gorham Rd, Scarsdale, NY 10583",0,25,96.2,1250000,0.95,5,0,3,2,3
128,"13 Kempster Rd, Scarsdale, NY 10583",0,26,93.8,1055000,0.8,4,0,1,1,1
129,"300 Boulevard, Scarsdale, NY 10583",0,57,100.0,825000,0.63,4,0,2,0,1
130,"60 Baraud Rd S, Scarsdale, NY 10583",0,67,100.0,699000,0.53,4,0,2,0,2
131,"130 Old Army Rd, Scarsdale, NY 10583",0,41,90.9,1750000,1.33,5,0,6,5,3
132,"65 Sprague Rd, Scarsdale, NY 10583",0,21,95.5,950000,0.72,5,0,1,5,2
133,"57 Birchall Dr, Scarsdale, NY 10583",0,72,100.0,7500000,5.71,4,0,4,1,1
134,"12 Walworth Ave, Scarsdale, NY 10583",0,29,94.5,1725000,1.31,5,0,1,1,1
135,"54 Morris Ln, Scarsdale, NY 10583",0,248,66.6,4995000,3.81,10,0,2,2,0
136,"466 Bronxville Rd, Bronxville, NY 10708",1,0,100.0,625000,0.75,0,12,0,0,1
137,"10 Ridge Rd, Bronxville, NY 10708",1,0,100.0,6800,0.01,3,2,2,2,5
138,"30 Forest Ln, Bronxville, NY 10708",1,0,100.0,13000000,15.52,0,4,0,0,1
139,"10 White Plains Rd, Bronxville, NY 10708",1,0,100.0,1140000,1.36,0,2,0,0,1
140,"50 Elm Rock Rd, Bronxville, NY 10708",1,0,100.0,1725000,2.06,0,6,0,0,2
141,"43 Prescott Ave, Bronxville, NY 10708",0,120,100.0,5375000,6.42,2,0,1,0,5
142,"12 Orchard Pl, Bronxville, NY 10708",0,57,91.4,3195000,3.81,3,0,8,4,1
143,"62 Boulder Trl, Bronxville, NY 10708",0,97,100.0,1675000,2.0,3,0,3,2,2
144,"11 Paddington Cir, Bronxville, NY 10708",0,136,100.0,4300000,5.13,2,0,1,0,1
145,"129 Dellwood Rd, Bronxville, NY 10708",1,0,100.0,80000,0.1,0,8,0,0,3
146,"55 Valley Rd, Bronxville, NY 10708",0,398,85.8,2399000,2.86,4,0,1,3,1
147,"16 Oaks Hunt Rd, Great Neck, NY 11020",0,34,100.0,1390000,1.26,5,0,2,0,1
148,"25427 Walden Ave, Great Neck, NY 11020",1,0,100.0,710000,0.65,0,11,0,0,1
149,"1 Bates Rd, Great Neck, NY 11020",0,37,95.2,950000,0.86,5,0,4,1,1
150,"25432 Walden Ave, Great Neck, NY 11020",0,4234,100.0,2700,0.0,11,0,1,0,0
151,"8 Robbins Ln, Great Neck, NY 11020",0,61,93.2,1188000,1.08,4,0,1,2,0
152,"128 Windsor Gate, Great Neck, NY 11020",0,77,100.0,6288000,5.72,4,0,3,0,2
153,"10 Talbot Dr, Great Neck, NY 11020",0,205,95.9,1180000,1.07,10,0,1,2,1
154,"64 Meadow Woods Rd, Lake Success, NY 11020",0,59,87.3,1388000,1.26,1,0,1,1,0
155,"44 Nassau Dr, Great Neck, NY 11021",0,23,100.0,4700000,4.35,5,0,3,0,2
156,"7 Ascot Ridge Rd, Great Neck, NY 11021",0,57,100.0,1198000,1.11,4,0,5,15,1
157,"17 Hillside Ave, Great Neck, NY 11021",0,84,100.0,1526000,1.41,3,0,3,22,0
158,"45 Nassau Dr, Great Neck, NY 11021",0,26,100.0,1980000,1.83,5,0,1,0,2
159,"33 Elliot Rd, Great Neck, NY 11021",0,93,100.0,2280000,2.11,3,0,2,0,2
160,"2 Sheffield Rd, Great Neck, NY 11021",0,121,95.0,948000,0.88,1,0,1,2,1
161,"5 Hickory Dr, Great Neck, NY 11021",0,17,100.0,1599000,1.48,6,0,1,0,0
162,"21 Wooleys Ln E, Great Neck, NY 11021",0,35,96.9,1550000,1.44,4,0,3,6,0
163,"29 Linford Rd, Great Neck, NY 11021",0,45,93.5,1588000,1.47,4,0,1,1,1
164,"1 Magnolia Dr, Great Neck, NY 11021",0,47,100.0,2298000,2.13,5,0,2,0,0
165,"23 Melbourne Rd, Great Neck, NY 11021",0,79,100.0,2299000,2.13,4,0,2,1,1
166,"4 Parkside Dr, Great Neck, NY 11021",0,148,100.0,1288000,1.19,1,0,1,0,0
167,"53 Nassau Dr, Great Neck, NY 11021",0,1241,92.1,1900000,1.76,1,1,3,4,3
168,"3 Tulip Dr, Great Neck, NY 11021",0,205,81.7,1795000,1.66,10,0,1,3,0
169,"35 Valley View Rd, Great Neck, NY 11021",0,201,88.5,998000,0.92,11,0,1,4,1
170,"2 Arleigh Rd, Great Neck, NY 11021",0,232,94.2,2448000,2.27,10,0,4,14,2
171,"15 Johnstone Rd, Great Neck, NY 11021",0,219,91.2,2398000,2.22,7,0,1,2,0
172,"67 Arleigh Rd, Great Neck, NY 11021",0,389,84.0,1580000,1.46,5,0,3,5,1
173,"102 Clover Dr, Great Neck, NY 11021",0,285,83.6,2998000,2.78,5,0,5,6,2
174,"2 Wyngate Pl, Great Neck, NY 11021",0,387,89.8,1426000,1.32,3,0,1,5,1
175,"2 Breuer Ave, Great Neck, NY 11023",0,15,100.0,739000,0.84,6,0,1,0,2
176,"16 Wooleys Ln, Great Neck, NY 11023",0,42,100.0,1180000,1.34,5,0,2,2,0
177,"56 Piccadilly Rd, Great Neck, NY 11023",0,62,95.7,2380000,2.71,3,0,2,1,1
178,"2 Stream Ct, Great Neck, NY 11023",0,21,100.0,3888888,4.42,5,0,1,0,0
179,"14 Hartley Rd, Great Neck, NY 11023",0,56,95.8,948000,1.08,4,0,2,2,0
180,"17 Willow Ln, Great Neck, NY 11023",0,132,100.0,848000,0.96,2,0,1,0,1
181,"107 Station Rd, Great Neck, NY 11023",0,120,89.7,3488000,3.97,2,0,2,1,1
182,"98 Oxford Blvd, Great Neck, NY 11023",0,105,91.6,1548000,1.76,2,0,2,2,1
183,"88 Wooleys Ln, Great Neck, NY 11023",0,140,100.0,1098000,1.25,1,0,1,0,2
184,"74 Beach Rd, Great Neck, NY 11023",0,232,100.0,950000,1.08,10,0,2,1,4
185,"17 Wooleys Ln, Great Neck, NY 11023",0,244,90.1,1396000,1.59,7,0,1,2,0
186,"5 Moline Ct, Great Neck, NY 11024",0,185,86.1,3399000,2.21,11,0,5,12,1
187,"7 Ellard Ave, Great Neck, NY 11024",0,57,100.0,1788000,1.16,4,0,4,0,1
188,"11 Cathy Ln, Great Neck, NY 11024",0,7,100.0,1288000,0.84,6,0,2,0,2
189,"26 Henhawk Rd, Great Neck, NY 11024",0,260,88.2,2988000,1.94,7,0,6,5,0
190,"37 Remsen Rd, Great Neck, NY 11024",0,42,100.0,2888000,1.88,5,0,4,3,1
191,"203 W Shore Rd #C, Great Neck, NY 11024",1,0,100.0,2200000,1.43,0,12,0,0,2
192,"14 Twin Ponds St, Great Neck, NY 11024",0,54,93.0,2599000,1.69,4,0,6,4,1
193,"10 Morris Ln, Great Neck, NY 11024",0,98,100.0,1388000,0.9,3,0,4,3,1
194,"10 Meryl Ln, Great Neck, NY 11024",0,76,100.0,1399000,0.91,4,0,1,0,1
195,"107 Wildwood Rd, Great Neck, NY 11024",0,75,89.9,999500,0.65,1,0,2,4,3
196,"6 Dwight Ln, Great Neck, NY 11024",0,75,90.4,1899000,1.23,1,0,1,1,0
197,"429 E Shore Rd, Great Neck, NY 11024",0,57,89.5,1699000,1.1,4,0,1,1,0
198,"5 Fir Dr, Great Neck, NY 11024",0,77,91.7,2750000,1.79,3,0,1,1,1
199,"215 Dock Ln, Great Neck, NY 11024",0,105,100.0,2688000,1.75,3,0,4,3,0
200,"10 Hemlock Dr, Great Neck, NY 11024",0,149,88.2,5995000,3.9,8,0,3,3,0
201,"2 Shelter Bay Dr, Great Neck, NY 11024",0,185,81.9,2990000,1.94,10,0,6,4,3
202,"14 Henhawk Rd, Great Neck, NY 11024",0,170,85.1,3395000,2.21,5,0,1,2,2
203,"25 Henhawk Rd, Great Neck, NY 11024",0,774,78.5,1795000,1.17,3,0,1,5,2
204,"4 Pine Tree Dr, Great Neck, NY 11024",0,580,89.2,4995000,3.25,10,0,3,3,0
205,"36 Soundview Crst, Manhasset, NY 11030",0,7,100.0,5600000,4.01,6,0,2,0,2
206,"21 Shoreview Rd, Manhasset, NY 11030",0,41,100.0,1199000,0.86,5,0,1,0,0
207,"11 Centre Dr, Manhasset, NY 11030",0,101,100.0,1045000,0.75,3,0,4,3,2
208,"150 Crabapple Rd, Manhasset, NY 11030",0,43,100.0,2980000,2.13,5,0,5,3,3
209,"146 Bay Driveway, Manhasset, NY 11030",0,21,100.0,1200000,0.86,5,0,1,0,0
210,"34 Knickerbocker Rd, Manhasset, NY 11030",0,41,96.1,1488000,1.06,4,0,1,1,1
211,"84 Bourndale Rd S, Manhasset, NY 11030",0,60,94.5,1299000,0.93,4,0,2,3,1
212,"78 Clapham Ave, Manhasset, NY 11030",0,43,86.5,950000,0.68,4,0,1,1,0
213,"29 Woodcliff Ct, Manhasset, NY 11030",0,43,100.0,3498000,2.5,5,0,2,1,2
214,"6 Cardinal Rd, Manhasset, NY 11030",0,42,100.0,3570000,2.55,5,0,6,2,2
215,"156 Chapel Rd, Manhasset, NY 11030",0,61,97.9,2328000,1.67,4,0,1,1,1
216,"2 The Beachway, Manhasset, NY 11030",0,128,89.6,1299000,0.93,1,0,1,3,0
217,"7 Brook Ln, Manhasset, NY 11030",0,48,100.0,1498000,1.07,5,0,2,0,1
218,"34 High St, Manhasset, NY 11030",0,37,100.0,950000,0.68,5,0,3,0,1
219,"530 Manhasset Woods Rd, Manhasset, NY 11030",1,0,100.0,2950000,2.11,0,9,0,0,1
220,"31 Bayview Ct, Manhasset, NY 11030",0,97,100.0,842000,0.6,3,0,3,0,2
221,"777 Hunt Ln, Manhasset, NY 11030",0,80,93.7,1499000,1.07,2,0,2,3,0
222,"64 Vanderlyn Dr, Manhasset, NY 11030",0,158,88.2,1499000,1.07,11,0,1,2,0
223,"7 Aspen Gate, Manhasset, NY 11030",0,68,94.1,1599000,1.14,3,0,1,1,0
224,"15 Groton Ln, Manhasset, NY 11030",0,210,92.9,1299000,0.93,11,0,1,1,1
225,"138 Rockcrest Rd, Manhasset, NY 11030",0,284,71.8,2150000,1.54,7,0,1,4,0
226,"158 Payne Whitney Ln, Manhasset, NY 11030",0,41,95.0,1899000,1.36,4,0,3,6,0
227,"27 Normandy Ln, Manhasset, NY 11030",0,386,89.5,1090000,0.78,4,0,1,5,0
228,"718 Park Ave, Manhasset, NY 11030",0,193,97.1,1795000,1.28,6,0,1,1,1
229,"66 Mayfair Ln, Manhasset, NY 11030",0,768,53.0,1950000,1.4,3,0,2,6,0
230,"14 Fulton Ave, New Hyde Park, NY 11040",0,14,100.0,799999,1.43,6,0,3,4,1
231,"70 Laurel Dr, New Hyde Park, NY 11040",0,20,100.0,729000,1.3,5,0,1,0,0
232,"22 Monterey Dr, New Hyde Park, NY 11040",0,8,100.0,939000,1.68,6,0,1,0,0
233,"17 Surrey Rd, New Hyde Park, NY 11040",0,16,100.0,829999,1.48,6,0,1,0,1
234,"1050 Maple Ln, New Hyde Park, NY 11040",0,13,94.1,799000,1.43,5,0,1,1,0
235,"91 Hillside Ln, New Hyde Park, NY 11040",0,17,100.0,1499888,2.68,6,0,1,0,1
236,"10 Magnolia Dr, New Hyde Park, NY 11040",0,18,100.0,939000,1.68,6,0,1,0,1
237,"134 Leonard Cir, New Hyde Park, NY 11040",0,21,100.0,789000,1.41,5,0,1,0,0
238,"7 Dunhill Rd, New Hyde Park, NY 11040",0,74,96.4,1299000,2.32,3,0,1,2,2
239,"1659 Stewart Ave, New Hyde Park, NY 11040",0,19,98.8,849000,1.52,5,0,2,2,0
240,"552 Lakeville Rd, New Hyde Park, NY 11040",0,61,100.0,699888,1.25,4,0,5,8,2
241,"39 Beechwood Ln, New Hyde Park, NY 11040",0,0,101.3,779000,1.39,5,0,1,1,1
242,"66 County Courthouse Rd, New Hyde Park, NY 11040",0,75,100.0,699900,1.25,4,0,1,0,0
243,"80 Bregman Ave, New Hyde Park, NY 11040",0,60,95.5,849000,1.52,4,0,2,1,0
244,"104 Ingraham Ln, New Hyde Park, NY 11040",0,49,97.3,650000,1.16,4,0,2,3,2
245,"19 Oak Ln, New Hyde Park, NY 11040",0,57,100.0,929000,1.66,4,0,3,2,1
246,"127 Norman St, New Hyde Park, NY 11040",0,79,100.0,699999,1.25,4,0,2,1,0
247,"436 Hillside Dr S, New Hyde Park, NY 11040",0,11,95.6,649000,1.16,4,0,2,2,0
248,"116 Moore St, New Hyde Park, NY 11040",0,15,100.0,729000,1.3,6,0,2,1,1
249,"7635 Hewlett St, North H P, NY 11040",0,2,102.1,511123,0.91,6,0,3,1,1
250,"26718 77th Ave, New Hyde Park, NY 11040",1,0,100.0,368000,0.66,0,10,0,0,1
251,"1304 Belmont Ave, New Hyde Park, NY 11040",0,99,93.1,679000,1.21,2,0,1,3,2
252,"37 Lake Dr, New Hyde Park, NY 11040",0,63,86.0,858000,1.53,4,0,1,3,1
253,"35 Nassau Blvd, Garden City, NY 11530",0,23,100.0,889000,1.17,5,0,1,0,1
254,"64 3rd St, Garden City, NY 11530",0,42,100.0,5495000,7.23,5,0,4,0,2
255,"106 Hayes St, Garden City, NY 11530",0,10,100.0,929000,1.22,6,0,2,3,2
256,"662 7th St S, Garden City, NY 11530",0,29,100.0,539000,0.71,5,0,2,0,1
257,"199 Kilburn Rd S, Garden City, NY 11530",0,16,93.1,538000,0.71,5,0,1,1,0
258,"209 Wetherill Rd, Garden City, NY 11530",0,16,100.0,879000,1.16,6,0,2,0,1
259,"85 Suffolk Ln, Garden City, NY 11530",0,41,95.0,949000,1.25,4,0,2,1,2
260,"179 Euston Rd, Garden City, NY 11530",0,50,100.0,1495000,1.97,5,0,2,0,0
261,"93 Brook St, Garden City, NY 11530",0,30,100.0,1399000,1.84,5,0,1,0,1
262,"108 Roosevelt St, Garden City, NY 11530",0,33,95.4,1038880,1.37,5,0,1,2,1
263,"130 Rockaway Ave, Garden City, NY 11530",0,56,100.0,1898000,2.5,4,0,1,0,0
264,"10 1st St, Garden City, NY 11530",0,15,100.0,1299000,1.71,6,0,1,0,0
265,"89 Kenwood Rd, Garden City, NY 11530",0,93,91.3,1095000,1.44,2,0,2,3,0
266,"54 Commander Ave, Garden City, NY 11530",0,1001,100.0,649000,0.85,8,0,2,5,1
267,"115 Sackville Rd, Garden City, NY 11530",0,58,91.4,950000,1.25,2,0,1,1,0
268,"215 Brixton Rd, Garden City, NY 11530",0,164,87.7,1425000,1.88,10,0,1,1,0
269,"212 Stewart Ave, Garden City, NY 11530",0,648,69.6,995000,1.31,8,0,3,6,1
